Timestamp,mobile-22,mobile-27,mobile-23,mobile-21,mobile-30,mobile-26,mobile-20,mobile-29,mobile-28,mobile-14,mobile-24,mobile-25
2020-04-06 00:00:00,,,60.0,33.0,16.0,,,,33.2,,,
2020-04-06 00:10:00,,,52.0,28.0,17.0,,,,33.6,,,
2020-04-06 00:20:00,,,54.0,29.0,17.0,,,,31.0,,,
2020-04-06 00:30:00,,,64.0,28.0,17.0,,,,31.2,,,
2020-04-06 00:40:00,,,50.0,28.0,17.0,,,,30.6,,,
2020-04-06 00:50:00,,,60.0,29.0,18.0,,,,27.8,,,
2020-04-06 01:00:00,,,52.0,31.0,16.0,,,,31.2,,,
2020-04-06 01:10:00,,,60.0,35.0,16.0,,,,31.8,,,
2020-04-06 01:20:00,,,60.0,29.0,18.0,,,,33.2,,,
2020-04-06 01:30:00,,,58.0,31.0,16.0,,,,35.4,,,
2020-04-06 01:40:00,,,54.0,32.0,17.0,,,,39.0,,,
2020-04-06 01:50:00,,,60.0,31.0,18.0,,,,35.0,,,
2020-04-06 02:00:00,,,52.0,29.0,17.0,,,,30.2,,,
2020-04-06 02:10:00,,,64.0,28.0,17.0,,,,34.2,,,
2020-04-06 02:20:00,,,50.0,29.0,20.0,,,,29.0,,,
2020-04-06 02:30:00,,,54.0,32.0,16.0,,,,35.8,,,
2020-04-06 02:40:00,,,58.0,30.0,17.0,,,,30.6,,,
2020-04-06 02:50:00,,,58.0,30.0,17.0,,,,32.8,,,
2020-04-06 03:00:00,,,50.0,30.0,16.0,,,,31.8,,,
2020-04-06 03:10:00,,,62.0,35.0,19.0,,,,30.8,,,
2020-04-06 03:20:00,,,46.0,28.0,16.0,,,,36.6,,,
2020-04-06 03:30:00,,,54.0,31.0,17.0,,,,36.0,,,
2020-04-06 03:40:00,,,54.0,29.0,18.0,,,,34.4,,,
2020-04-06 03:50:00,,,60.0,31.0,18.0,,,,35.0,,,
2020-04-06 04:00:00,,,58.0,29.0,17.0,,,,33.4,,,
2020-04-06 04:10:00,,,54.0,39.0,16.0,,,,31.6,,,
2020-04-06 04:20:00,,,52.0,28.0,16.0,,,,28.6,,,
2020-04-06 04:30:00,,,58.0,27.0,16.0,,,,33.6,,,
2020-04-06 04:40:00,,,58.0,34.0,17.0,,,,33.6,,,
2020-04-06 04:50:00,,,60.0,28.0,17.0,,,,33.6,,,
2020-04-06 05:00:00,,,68.0,31.0,16.0,,,,33.6,,,
2020-04-06 05:10:00,,,64.0,31.0,17.0,,,,33.0,,,
2020-04-06 05:20:00,,,54.0,27.0,17.0,,,,33.2,,,
2020-04-06 05:30:00,,,54.0,31.0,1024.6002444178207,,,,32.8,,,
2020-04-06 05:40:00,,,54.0,37.0,15.0,,,,31.6,,,
2020-04-06 05:50:00,,,50.0,30.0,17.0,,,,31.6,,,
2020-04-06 06:00:00,,,60.0,30.0,16.0,,,,31.0,,,
2020-04-06 06:10:00,,,56.0,30.0,17.0,,,,34.4,,,
2020-04-06 06:20:00,,,54.0,31.0,16.0,,,,33.6,,,
2020-04-06 06:30:00,,,56.0,31.0,16.0,,,,33.0,,,
2020-04-06 06:40:00,,,58.0,1422.7780516908838,17.0,,,,32.8,,,
2020-04-06 06:50:00,,,56.0,28.0,18.0,,,,32.2,,,
2020-04-06 07:00:00,,,48.0,849.6617736247991,18.0,,,,34.4,,,21.0
2020-04-06 07:10:00,,,,28.0,16.0,,,,30.6,,,22.0
2020-04-06 07:20:00,,,,32.0,18.0,,,,34.2,,,22.0
2020-04-06 07:30:00,,,,29.0,18.0,,,,30.2,,,20.0
2020-04-06 07:40:00,,,,27.0,18.0,,,,38.4,,,19.0
2020-04-06 07:50:00,,,,29.0,14.0,,,36.0,37.2,,,21.0
2020-04-06 08:00:00,,,,28.0,,,,37.0,36.8,,,19.0
2020-04-06 08:10:00,,,,29.0,,,,,31.6,,,21.0
2020-04-06 08:20:00,,55.801,,30.0,,,,,31.6,,,22.0
2020-04-06 08:30:00,,71.676,,30.0,,,,,32.8,,,21.0
2020-04-06 08:40:00,,65.60300000000001,,28.0,,,,,37.2,,,21.0
2020-04-06 08:50:00,,61.413000000000004,,31.0,,,,,32.4,,,21.0
2020-04-06 09:00:00,,63.40899999999999,,33.0,,,,,33.6,,,21.0
2020-04-06 09:10:00,,61.303000000000004,,29.0,,,,,35.0,,,21.0
2020-04-06 09:20:00,,55.20400000000001,,29.0,,,,,35.2,,,21.0
2020-04-06 09:30:00,,61.10900000000001,,30.0,,,,,35.2,,,20.0
2020-04-06 09:40:00,,67.082,,29.0,,,,,31.6,,,21.0
2020-04-06 09:50:00,,66.89,,1394.7178186371348,,,,,35.2,,,21.0
2020-04-06 10:00:00,,62.902,,31.0,,,,,32.0,,,20.0
2020-04-06 10:10:00,,60.809,,,,,,,34.0,,,21.0
2020-04-06 10:20:00,,72.718,,,,,,,34.4,,,22.0
2020-04-06 10:30:00,,60.574,,,,,,,31.2,,,20.0
2020-04-06 10:40:00,,58.521,,,,,,,31.4,,,20.0
2020-04-06 10:50:00,,68.40299999999999,,,,,,,35.2,,,20.0
2020-04-06 11:00:00,,68.40299999999999,,,,,,,33.8,,,20.0
2020-04-06 11:10:00,,70.209,,,,,,,36.0,,,21.0
2020-04-06 11:20:00,,62.124,,,,,,,35.0,,,22.0
2020-04-06 11:30:00,,58.101000000000006,,,,,,,30.0,,,20.0
2020-04-06 11:40:00,,58.11,,,,,,,30.4,,,20.0
2020-04-06 11:50:00,,62.00100000000001,,,,,,,32.6,,,19.0
2020-04-06 12:00:00,,61.89699999999999,,,,,,,31.4,,,21.0
2020-04-06 12:10:00,,61.89699999999999,,,,,,,32.4,,,20.0
