Timestamp,mobile-19,mobile-18,mobile-20,mobile-17,mobile-5,mobile-38,mobile-4,mobile-36,mobile-16,mobile-2,mobile-7,mobile-27,mobile-47,mobile-1,mobile-44,mobile-15,mobile-9,mobile-25,mobile-3,mobile-41,mobile-23,mobile-37,mobile-50,mobile-31,mobile-13,mobile-10,mobile-11,static-4
2020-04-06 00:00:00,,,,,,,,,,,,,,0.0,44.0,71.4,,,,,,,,,,,,18.623
2020-04-06 00:10:00,,,,,,,,,,,,,,,42.0,67.399,,,,,,,,,,,,19.855
2020-04-06 00:20:00,,,,,,,,,,,,,,,44.0,63.40000000000001,,,,,,,,,,,,19.447
2020-04-06 00:30:00,,,,,,,,,,,,,,,44.0,61.42400000000001,,,,,,,,,,,,19.873
2020-04-06 00:40:00,,,,,,,,,,,,,,,50.0,59.523,,,,,,,,,,,,19.326
2020-04-06 00:50:00,,,,,,,,,,,,,,,38.0,61.602,,,,,,,,,,,,19.9
2020-04-06 01:00:00,,,,,,,,,,,,,,,40.0,63.63200000000001,,,,,,,,,,,,19.855999999999998
2020-04-06 01:10:00,,,,,,,,,,,,,,,44.0,57.648999999999994,,,,,,,,,,,,19.56
2020-04-06 01:20:00,,,,,,,,,,,,,,,44.0,65.706,,,,,,,,,,,,18.843
2020-04-06 01:30:00,,,,,,,,,,,,,,,56.0,63.81,,,,,,,,,,,,19.764
2020-04-06 01:40:00,,,,,,,,,,,,,,,50.0,69.839,,,,,,,,,,,,19.838
2020-04-06 01:50:00,,,,,,,,,,,,,,,44.0,61.908,,,,,,,,,,,,18.897000000000002
2020-04-06 02:00:00,,,,,,,,,,,,,,,44.0,68.045,,,,,,,,,,,,19.828
2020-04-06 02:10:00,,,,,,,,,,,,,,,44.0,66.107,,,,,,,,,,,,19.066
2020-04-06 02:20:00,,,,,,,,,,,,,,,821.5836439272774,335.59545465677,,,,,,,,,,,,19.827
2020-04-06 02:30:00,,,,,,,,,,,,,,,44.0,66.19,,,,,,,,,,,,19.391
2020-04-06 02:40:00,,,,,,,,,,,,,,,44.0,64.365,,,,,,,,,,,,19.959
2020-04-06 02:50:00,,,,,,,,,,,,,,,42.0,66.39099999999999,,,,,,,,,,,,19.858
2020-04-06 03:00:00,,,,,,,,,,,,,,,38.0,62.49500000000001,,,,,,,,,,,,19.881
2020-04-06 03:10:00,,,,,,,,,,,,,,,48.0,64.62100000000001,,,,,,,,,,,,19.567
2020-04-06 03:20:00,,,,,,,,,,,,,,,52.0,62.857,,,,,,,,,,,,19.509
2020-04-06 03:30:00,,,,,,,,,,,,,,,1219.6045523527694,66.976,,,,,,,,,,,,19.271
2020-04-06 03:40:00,,,,,,,,,,,,,,,50.0,65.271,,,,,,,,,,,,19.754
2020-04-06 03:50:00,,,,,,,,,,,,,,,40.0,79.517,,,,,,,,,,,,19.797
2020-04-06 04:00:00,,,,,,,,,,,,,,,52.0,65.89,,,,,,,,,,,,18.233
2020-04-06 04:10:00,,,,,,,,,,,,,,,42.0,71.935,,,,,,,,,,,,19.817999999999998
2020-04-06 04:20:00,,,,,,,,,,,,,,,48.0,64.182,,,,,,,,,,,,19.85
2020-04-06 04:30:00,,,,,,,,,,,,,,,50.0,66.41499999999999,,,,,,,,,,,,18.8
2020-04-06 04:40:00,,,,,,,,,,,,,,,52.0,70.62,,,,,,,,,,,,19.184
2020-04-06 04:50:00,,,,,,,,,,,,,,,42.0,70.765,,,,,,,,,,,,19.744
2020-04-06 05:00:00,,,,,,,,,,,,,,,40.0,66.911,,,,,,,,,,,,19.554000000000002
2020-04-06 05:10:00,,,,,,,,,,,,,,,42.0,66.90299999999999,,,,,,,,,,,,19.95
2020-04-06 05:20:00,,,,,,,,,,,,,,,46.0,66.983,,,,,,,,,,,,18.945999999999998
