Timestamp,mobile-16,mobile-17,mobile-18,mobile-36,mobile-15,mobile-47,mobile-7,mobile-25,mobile-27,mobile-2,mobile-50,mobile-1,mobile-41,mobile-9,mobile-24,mobile-44,mobile-4,static-6
2020-04-06 00:00:00,,,,,,,25.0,50.0,,,,,,,,,,19.352999999999998
2020-04-06 00:10:00,,,,,,,26.0,54.0,,,,,,,,,,19.299
2020-04-06 00:20:00,,,,,,,25.0,53.0,,,,,,,,,,19.507
2020-04-06 00:30:00,,,,,,,23.0,47.0,,,,,,,,,,19.965
2020-04-06 00:40:00,,,,,,,25.0,47.0,,,,,,,,,,19.278
2020-04-06 00:50:00,,,,,,,26.0,45.0,,,,,,,,,,19.92
2020-04-06 01:00:00,,,,,,,25.0,49.0,,,,,,,,,,18.873
2020-04-06 01:10:00,,,,,,,24.0,44.0,,,,,,,,,,19.971
2020-04-06 01:20:00,,,,,,,23.0,49.0,,,,,,,,,,19.687
2020-04-06 01:30:00,,,,,,,25.0,48.0,,,,,,,,,,19.576
2020-04-06 01:40:00,,,,,,,23.0,44.0,,,,,,,,,,19.705
2020-04-06 01:50:00,,,,,,,22.0,52.0,,,,,,,,,,19.984
2020-04-06 02:00:00,,,,,,,27.0,49.0,,,,,,,,,,19.775
2020-04-06 02:10:00,,,,,,,24.0,46.0,,,,,,,,,,19.72
2020-04-06 02:20:00,,,,,,,23.0,52.0,,,,,,,,,,18.840999999999998
2020-04-06 02:30:00,,,,,,,26.0,46.0,,,,,,,,,,19.325
2020-04-06 02:40:00,,,,,,,22.0,43.0,,,,,,,,,,19.971
2020-04-06 02:50:00,,,,,,,27.0,52.0,,,,,,,,,,19.047
2020-04-06 03:00:00,,,,,,,23.0,46.0,,,,,,,,,,19.679000000000002
2020-04-06 03:10:00,,,,,,,21.0,44.0,,,,,,,,,,19.487000000000002
2020-04-06 03:20:00,,,,,,,22.0,44.0,,,,,,,,,,19.941
2020-04-06 03:30:00,,,,,,,25.0,50.0,,,,,,,,,,19.42
2020-04-06 03:40:00,,,,,,,24.0,47.0,,,,,,,,,,19.925
2020-04-06 03:50:00,,,,,,,24.0,49.0,,,,,,,,,,19.352999999999998
2020-04-06 04:00:00,,,,,,,24.0,44.0,,,,,,,,,,19.502
2020-04-06 04:10:00,,,,,,,26.0,47.0,,,,,,,,,,19.824
2020-04-06 04:20:00,,,,,,,28.0,49.0,,,,,,,,,,19.98
2020-04-06 04:30:00,,,,,,,24.0,50.0,,,,,,,,,,19.905
2020-04-06 04:40:00,,,,,,,24.0,48.0,,,,,,,,,,19.02
2020-04-06 04:50:00,,,,,,,23.0,45.0,,,,,,,,,,19.887999999999998
2020-04-06 05:00:00,,,,,,,25.0,46.0,,,,,,,,,,18.817
