Timestamp,mobile-26,mobile-24,mobile-45,mobile-25,mobile-28,mobile-46,mobile-23,mobile-20,mobile-27,mobile-47,mobile-22,static-11
2020-04-06 00:00:00,,,,28.0,32.0,38.0,,,46.0,,,19.449
2020-04-06 00:10:00,,,,28.0,30.0,35.0,,,46.0,,,18.831
2020-04-06 00:20:00,,,,28.0,31.0,38.0,,,45.0,,,19.995
2020-04-06 00:30:00,,,,28.0,31.0,40.0,,,45.0,,,19.862000000000002
2020-04-06 00:40:00,,,,29.0,31.0,37.0,,,45.0,,,19.71
2020-04-06 00:50:00,,,,29.0,31.0,36.0,,,48.0,,,19.772000000000002
2020-04-06 01:00:00,,,,27.0,31.0,37.0,,,47.0,,,19.765
2020-04-06 01:10:00,,,,27.0,638.5258282609974,37.0,,,48.0,,,19.762
2020-04-06 01:20:00,,,,27.0,30.0,35.0,,,48.0,,,19.441
2020-04-06 01:30:00,,,,1206.9151578010014,31.0,34.0,,,50.0,,,19.92
2020-04-06 01:40:00,,,,27.0,31.0,36.0,,,49.0,,,19.930999999999997
2020-04-06 01:50:00,,,,28.0,30.0,36.0,,,46.0,,,19.543
2020-04-06 02:00:00,,,,29.0,33.0,36.0,,,47.0,,,19.854
2020-04-06 02:10:00,,,,28.0,30.0,37.0,,,47.0,,,19.734
2020-04-06 02:20:00,,,,29.0,29.0,43.0,,,46.0,,,19.345
2020-04-06 02:30:00,,,,27.0,31.0,37.0,,,46.0,,,19.833
2020-04-06 02:40:00,,,,28.0,34.0,36.0,,,48.0,,,19.64
2020-04-06 02:50:00,,,,26.0,30.0,38.0,,,46.0,,,19.33
2020-04-06 03:00:00,,,,29.0,33.0,38.0,,,46.0,,,19.764
2020-04-06 03:10:00,,,,27.0,32.0,37.0,,,44.0,,,19.302
2020-04-06 03:20:00,,,,30.0,33.0,42.0,,,47.0,,,19.803
2020-04-06 03:30:00,,,,31.0,32.0,37.0,,,46.0,,,19.646
2020-04-06 03:40:00,,,,29.0,31.0,35.0,,,703.9695367860678,,,19.63
2020-04-06 03:50:00,,,,26.0,30.0,37.0,,,45.0,,,19.646
2020-04-06 04:00:00,,,,28.0,30.0,37.0,,,46.0,,,19.194000000000003
2020-04-06 04:10:00,,,,28.0,30.0,36.0,,,45.0,,,18.774
2020-04-06 04:20:00,,,,28.0,31.0,34.0,,,45.0,,,19.596
2020-04-06 04:30:00,,,,29.0,31.0,39.0,,,44.0,,,19.596
2020-04-06 04:40:00,,,,28.0,29.0,38.0,,,44.0,,,19.133
2020-04-06 04:50:00,,,,29.0,30.0,39.0,,,45.0,,,19.984
