Timestamp,mobile-37,mobile-44,mobile-38,mobile-19,mobile-5,mobile-40,mobile-36,mobile-15,mobile-20,mobile-4,mobile-2,mobile-33,mobile-23,mobile-11,mobile-24,mobile-7,mobile-27,mobile-6,mobile-47,mobile-17,mobile-1,mobile-46,mobile-9,mobile-39,mobile-42,mobile-13,mobile-31,mobile-10,mobile-16,mobile-12,mobile-8
2020-04-06 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,10.0,48.0,,,,47.0,,
2020-04-06 00:10:00,,,,,,,,,,,,,,,,,,,,,,,,9.0,49.0,,,,47.0,,
2020-04-06 00:20:00,,,,,,,,,,,,,,,,,,,,,,,,10.0,48.0,,,,46.0,,
2020-04-06 00:30:00,,,,,,,,,,,,,,,,,,,,,,,,9.0,48.0,,,,46.0,,
2020-04-06 00:40:00,,,,,,,,,,,,,,,,,,,,,,,,10.0,50.0,,,,48.0,,
2020-04-06 00:50:00,,,,,,,,,,,,,,,,,,,,,,,,9.0,48.0,,,,47.0,,
2020-04-06 01:00:00,,,,,,,,,,,,,,,,,,,,,,,,10.0,47.0,,,,48.0,,
2020-04-06 01:10:00,,,,,,,,,,,,,,,,,,,,,,,,9.0,48.0,,,,48.0,,
2020-04-06 01:20:00,,,,,,,,,,,,,,,,,,,,,,,,10.0,48.0,,,,48.0,,
2020-04-06 01:30:00,,,,,,,,,,,,,,,,,,,,,,,,9.0,48.0,,,,47.0,,
2020-04-06 01:40:00,,,,,,,,,,,,,,,,,,,,,,,,10.0,49.0,,,,48.0,,
2020-04-06 01:50:00,,,,,,,,,,,,,,,,,,,,,,,,10.0,48.0,,,,46.0,,
2020-04-06 02:00:00,,,,,,,,,,,,,,,,,,,,,,,,10.0,48.0,,,,47.0,,
2020-04-06 02:10:00,,,,,,,,,,,,,,,,,,,,,,,,10.0,49.0,,,,46.0,,
2020-04-06 02:20:00,,,,,,,,,,,,,,,,,,,,,,,,11.0,49.0,,,,46.0,,
2020-04-06 02:30:00,,,,,,,,,,,,,,,,,,,,,,,,10.0,50.0,,,,45.0,,
2020-04-06 02:40:00,,,,,,,,,,,,,,,,,,,,,,,,9.0,50.0,,,,46.0,,
2020-04-06 02:50:00,,,,,,,,,,,,,,,,,,,,,,,,10.0,50.0,,,,47.0,,
2020-04-06 03:00:00,,,,,,,,,,,,,,,,,,,,,,,,10.0,48.0,,,,49.0,,
2020-04-06 03:10:00,,,,,,,,,,,,,,,,,,,,,,,,9.0,47.0,,,,46.0,,
2020-04-06 03:20:00,,,,,,,,,,,,,,,,,,,,,,,,10.0,49.0,,,,46.0,,
2020-04-06 03:30:00,,,,,,,,,,,,,,,,,,,,,,,,9.0,49.0,,,,47.0,,
2020-04-06 03:40:00,,,,,,,,,,,,,,,,,,,,,,,,9.0,50.0,,,,46.0,,
2020-04-06 03:50:00,,,,,,,,,,,,,,,,,,,,,,,,10.0,49.0,,,,45.0,,
2020-04-06 04:00:00,,,,,,,,,,,,,,,,,,,,,,,,10.0,47.0,,,,46.0,,
