Timestamp,mobile-49,mobile-36,mobile-9,mobile-17,mobile-19,mobile-46,mobile-47,mobile-6,mobile-40,mobile-15,mobile-44,mobile-39,mobile-20,mobile-37,mobile-21,mobile-43,mobile-33,mobile-23,mobile-10,mobile-34,mobile-8,mobile-24,mobile-1,mobile-27,mobile-7,mobile-5,mobile-13,mobile-4,mobile-31,mobile-32,mobile-22,mobile-14,mobile-42,mobile-12
2020-04-06 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,47.0,,,,,,,,,50.0
2020-04-06 00:10:00,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,47.0
2020-04-06 00:20:00,,,,,,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,,,54.0
2020-04-06 00:30:00,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,52.0
2020-04-06 00:40:00,,,,,,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,,,48.0
2020-04-06 00:50:00,,,,,,,,,,,,,,,,,,,,,,,,,49.0,,,,,,,,,48.0
2020-04-06 01:00:00,,,,,,,,,,,,,,,,,,,,,,,,,49.0,,,,,,,,,48.0
2020-04-06 01:10:00,,,,,,,,,,,,,,,,,,,,,,,,,47.0,,,,,,,,,48.0
2020-04-06 01:20:00,,,,,,,,,,,,,,,,,,,,,,,,,49.0,,,,,,,,,50.0
2020-04-06 01:30:00,,,,,,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,,,49.0
2020-04-06 01:40:00,,,,,,,,,,,,,,,,,,,,,,,,,47.0,,,,,,,,,49.0
2020-04-06 01:50:00,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,49.0
2020-04-06 02:00:00,,,,,,,,,,,,,,,,,,,,,,,,,52.0,,,,,,,,,52.0
2020-04-06 02:10:00,,,,,,,,,,,,,,,,,,,,,,,,,49.0,,,,,,,,,46.0
2020-04-06 02:20:00,,,,,,,,,,,,,,,,,,,,,,,,,47.0,,,,,,,,,52.0
2020-04-06 02:30:00,,,,,,,,,,,,,,,,,,,,,,,,,49.0,,,,,,,,,49.0
2020-04-06 02:40:00,,,,,,,,,,,,,,,,,,,,,,,,,49.0,,,,,,,,,51.0
2020-04-06 02:50:00,,,,,,,,,,,,,,,,,,,,,,,,,47.0,,,,,,,,,47.0
2020-04-06 03:00:00,,,,,,,,,,,,,,,,,,,,,,,,,47.0,,,,,,,,,48.0
2020-04-06 03:10:00,,,,,,,,,,,,,,,,,,,,,,,,,49.0,,,,,,,,,50.0
2020-04-06 03:20:00,,,,,,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,,,54.0
