Timestamp,mobile-35,mobile-34,mobile-33,mobile-9,mobile-21,mobile-20,mobile-22,mobile-32,mobile-45,mobile-31,mobile-46,mobile-14,mobile-23,mobile-47,mobile-41,mobile-13,mobile-44,static-14
2020-04-06 00:00:00,,,,,,,,,,35.0,37.0,38.0,,,,,,19.543
2020-04-06 00:10:00,,,,,,,,,,39.0,36.0,37.0,,,,,,18.702
2020-04-06 00:20:00,,,,,,,,,,39.0,37.0,38.0,,,,,,19.985
2020-04-06 00:30:00,,,,,,,,,,36.0,39.0,36.0,,,,,,19.936
2020-04-06 00:40:00,,,,,,,,,,37.0,37.0,36.0,,,,,,19.107
2020-04-06 00:50:00,,,,,,,,,,36.0,37.0,40.0,,,,,,19.25
2020-04-06 01:00:00,,,,,,,,,,37.0,36.0,36.0,,,,,,19.35
2020-04-06 01:10:00,,,,,,,,,,36.0,37.0,38.0,,,,,,19.017
2020-04-06 01:20:00,,,,,,,,,,38.0,36.0,39.0,,,,,,19.098
2020-04-06 01:30:00,,,,,,,,,,40.0,36.0,37.0,,,,,,19.028
2020-04-06 01:40:00,,,,,,,,,,36.0,36.0,38.0,,,,,,19.914
2020-04-06 01:50:00,,,,,,,,,,36.0,37.0,37.0,,,,,,19.398
2020-04-06 02:00:00,,,,,,,,,,35.0,37.0,37.0,,,,,,19.738
2020-04-06 02:10:00,,,,,,,,,,38.0,37.0,37.0,,,,,,18.616
2020-04-06 02:20:00,,,,,,,,,,36.0,36.0,40.0,,,,,,18.96
2020-04-06 02:30:00,,,,,,,,,,36.0,38.0,38.0,,,,,,18.655
2020-04-06 02:40:00,,,,,,,,,,36.0,35.0,36.0,,,,,,19.875999999999998
2020-04-06 02:50:00,,,,,,,,,,36.0,967.265929675614,36.0,,,,,,19.857
2020-04-06 03:00:00,,,,,,,,,,36.0,37.0,36.0,,,,,,18.987000000000002
2020-04-06 03:10:00,,,,,,,,,,38.0,36.0,40.0,,,,,,18.749000000000002
2020-04-06 03:20:00,,,,,,,,,,34.0,36.0,36.0,,,,,,19.916
2020-04-06 03:30:00,,,,,,,,,,38.0,38.0,36.0,,,,,,19.874000000000002
2020-04-06 03:40:00,,,,,,,,,,38.0,37.0,39.0,,,,,,19.944000000000003
2020-04-06 03:50:00,,,,,,,,,,36.0,34.0,36.0,,,,,,19.1
2020-04-06 04:00:00,,,,,,,,,,36.0,36.0,39.0,,,,,,18.789
2020-04-06 04:10:00,,,,,,,,,,36.0,36.0,38.0,,,,,,19.203
2020-04-06 04:20:00,,,,,,,,,,37.0,36.0,36.0,,,,,,19.949
2020-04-06 04:30:00,,,,,,,,,,35.0,37.0,37.0,,,,,,19.673
2020-04-06 04:40:00,,,,,,,,,,38.0,40.0,36.0,,,,,,18.859
2020-04-06 04:50:00,,,,,,,,,,36.0,39.0,37.0,,,,,,19.48
2020-04-06 05:00:00,,,,,,,,,,36.0,36.0,37.0,,,,,,19.284000000000002
2020-04-06 05:10:00,,,,,,,,,,35.0,36.0,39.0,,,,,,19.807000000000002
