Timestamp,mobile-3,mobile-4,mobile-50,mobile-5,mobile-38,mobile-12,mobile-2,mobile-23,mobile-1,mobile-44,mobile-9,mobile-7,mobile-46,mobile-47,mobile-16,mobile-19,mobile-37,mobile-11
2020-04-06 00:00:00,,,37.0,23.0,,,,,,,,,,,,,,41.0
2020-04-06 00:10:00,,,35.0,28.0,,,,,,,,,,,,,,43.0
2020-04-06 00:20:00,,,37.0,25.0,,,,,,,,,,,,,,42.0
2020-04-06 00:30:00,,,35.0,27.0,,,,,,,,,,,,,,1028.743671664022
2020-04-06 00:40:00,,,33.0,25.0,,,,,,,,,,,,,,42.0
2020-04-06 00:50:00,,,32.0,26.0,,,,,,,,,,,,,,45.0
2020-04-06 01:00:00,,,38.0,22.0,,,,,,,,,,,,,,41.0
2020-04-06 01:10:00,,,34.0,23.0,,,,,,,,,,,,,,41.0
2020-04-06 01:20:00,,,36.0,26.0,,,,,,,,,,,,,,43.0
2020-04-06 01:30:00,,,1033.0500864308856,24.0,,,,,,,,,,,,,,43.0
2020-04-06 01:40:00,,,39.0,28.0,,,,,,,,,,,,,,41.0
2020-04-06 01:50:00,,,36.0,27.0,,,,,,,,,,,,,,42.0
2020-04-06 02:00:00,,,36.0,26.0,,,,,,,,,,,,,,43.0
2020-04-06 02:10:00,,,32.0,24.0,,,,,,,,,,,,,,44.0
2020-04-06 02:20:00,,,35.0,22.0,,,,,,,,,,,,,,42.0
2020-04-06 02:30:00,,,34.0,25.0,,,,,,,,,,,,,,43.0
2020-04-06 02:40:00,,,34.0,29.0,,,,,,,,,,,,,,41.0
2020-04-06 02:50:00,,,33.0,22.0,,,,,,,,,,,,,,43.0
2020-04-06 03:00:00,,,33.0,24.0,,,,,,,,,,,,,,44.0
2020-04-06 03:10:00,,,36.0,22.0,,,,,,,,,,,,,,44.0
2020-04-06 03:20:00,,,35.0,22.0,,,,,,,,,,,,,,45.0
2020-04-06 03:30:00,,,33.0,25.0,,,,,,,,,,,,,,41.0
2020-04-06 03:40:00,,,37.0,24.0,,,,,,,,,,,,,,42.0
2020-04-06 03:50:00,,,37.0,22.0,,,,,,,,,,,,,,41.0
2020-04-06 04:00:00,,,35.0,23.0,,,,,,,,,,,,,,42.0
2020-04-06 04:10:00,,,33.0,22.0,,,,,,,,,,,,,,42.0
2020-04-06 04:20:00,,,33.0,23.0,,,,,,,,,,,,,,42.0
2020-04-06 04:30:00,,,36.0,23.0,,,,,,,,,,,,,,42.0
2020-04-06 04:40:00,,,34.0,27.0,,,,,,,,,,,,,,44.0
2020-04-06 04:50:00,,,32.0,26.0,,,,,,,,,,,,,,41.0
2020-04-06 05:00:00,,,33.0,24.0,,,,,,,,,,,,,,41.0
2020-04-06 05:10:00,,,36.0,23.0,,,,,,,,,,,,,,43.0
2020-04-06 05:20:00,,,36.0,21.0,,,,,,,,,,,,,,43.0
2020-04-06 05:30:00,,,33.0,24.0,,,,,,,,,,,,,,326.1608020698466
2020-04-06 05:40:00,,,36.0,24.0,,,,,,,,,,,,,,43.0
2020-04-06 05:50:00,,,40.0,24.0,,,,,,,,,,,,,,41.0
