Timestamp,mobile-8,mobile-9,mobile-6,mobile-11,mobile-5,mobile-47,mobile-12,mobile-46,mobile-10,mobile-7,mobile-21,mobile-44,mobile-49,mobile-1,mobile-23,mobile-40,mobile-36,mobile-14,mobile-31,mobile-13,static-12,static-9
2020-04-06 00:00:00,,27.0,24.0,23.0,21.0,16.0,18.0,16.0,28.0,,,,,,,,,49.0,47.0,,19.413,18.909000000000002
2020-04-06 00:10:00,,22.0,24.0,18.0,16.0,16.0,19.0,17.0,31.0,,,,,,,,,45.0,48.0,,19.63,19.622
2020-04-06 00:20:00,,22.0,21.0,20.0,16.0,17.0,18.0,16.0,31.0,,,,,,,,,48.0,46.0,,19.007,19.546
2020-04-06 00:30:00,,23.0,21.0,23.0,18.0,17.0,16.0,22.0,30.0,,,,,,,,,48.0,48.0,,19.68,19.663
2020-04-06 00:40:00,,24.0,22.0,19.0,15.0,18.0,19.0,18.0,31.0,,,,,,,,,47.0,49.0,,18.925,19.913
2020-04-06 00:50:00,,24.0,21.0,20.0,17.0,15.0,18.0,18.0,30.0,,,,,,,,,46.0,51.0,,19.415,19.983
2020-04-06 01:00:00,,23.0,22.0,19.0,16.0,16.0,17.0,20.0,28.0,,,,,,,,,46.0,49.0,,18.977999999999998,19.877
2020-04-06 01:10:00,,25.0,21.0,22.0,17.0,17.0,18.0,20.0,32.0,,,,,,,,,47.0,49.0,,19.537,19.76
2020-04-06 01:20:00,,29.0,21.0,25.0,16.0,16.0,17.0,18.0,29.0,,,,,,,,,48.0,51.0,,19.604,19.827
2020-04-06 01:30:00,,23.0,21.0,19.0,19.0,14.0,16.0,16.0,36.0,,,,,,,,,45.0,47.0,,19.382,19.811
2020-04-06 01:40:00,,22.0,22.0,20.0,19.0,18.0,18.0,711.3613066141785,28.0,,,,,,,,,44.0,52.0,,19.756,19.511
2020-04-06 01:50:00,,25.0,23.0,20.0,16.0,16.0,16.0,17.0,33.0,,,,,,,,,45.0,50.0,,18.828,19.802
2020-04-06 02:00:00,,23.0,742.1067342577651,20.0,16.0,16.0,21.0,20.0,28.0,,,,,,,,,46.0,50.0,,19.882,19.112000000000002
2020-04-06 02:10:00,,24.0,21.0,25.0,18.0,16.0,18.0,17.0,29.0,,,,,,,,,50.0,48.0,,19.730999999999998,19.947
2020-04-06 02:20:00,,23.0,21.0,21.0,14.0,18.0,19.0,18.0,31.0,,,,,,,,,47.0,47.0,,19.314,19.717
2020-04-06 02:30:00,,23.0,22.0,19.0,16.0,20.0,19.0,16.0,32.0,,,,,,,,,48.0,47.0,,19.99,19.2
2020-04-06 02:40:00,,26.0,22.0,20.0,16.0,14.0,16.0,17.0,34.0,,,,,,,,,49.0,47.0,,19.718,19.67
2020-04-06 02:50:00,,26.0,21.0,19.0,16.0,14.0,17.0,22.0,31.0,,,,,,,,,47.0,45.0,,19.654,19.891
2020-04-06 03:00:00,,26.0,20.0,24.0,15.0,16.0,16.0,1230.1723394994804,31.0,,,,,,,,,46.0,48.0,,19.195,19.409000000000002
2020-04-06 03:10:00,,23.0,21.0,19.0,16.0,17.0,17.0,16.0,29.0,,,,,,,,,46.0,45.0,,19.509,19.962
2020-04-06 03:20:00,,22.0,21.0,18.0,17.0,19.0,16.0,16.0,28.0,,,,,,,,,49.0,49.0,,19.079,19.082
2020-04-06 03:30:00,,22.0,21.0,24.0,18.0,14.0,16.0,18.0,31.0,,,,,,,,,47.0,48.0,,18.477,19.208
2020-04-06 03:40:00,,27.0,20.0,18.0,14.0,16.0,18.0,18.0,32.0,,,,,,,,,47.0,48.0,,19.695,19.8
2020-04-06 03:50:00,,23.0,21.0,25.0,16.0,15.0,17.0,17.0,29.0,,,,,,,,,47.0,47.0,,18.980999999999998,19.997
2020-04-06 04:00:00,,25.0,20.0,22.0,16.0,16.0,17.0,18.0,32.0,,,,,,,,,49.0,45.0,,19.668,19.451
2020-04-06 04:10:00,,22.0,21.0,21.0,15.0,16.0,19.0,15.0,30.0,,,,,,,,,48.0,46.0,,19.951,19.757
2020-04-06 04:20:00,,25.0,21.0,22.0,16.0,21.0,18.0,17.0,27.0,,,,,,,,,47.0,46.0,,19.685,19.456
2020-04-06 04:30:00,,24.0,24.0,19.0,16.0,16.0,18.0,16.0,30.0,,,,,,,,,47.0,45.0,,19.928,19.977
2020-04-06 04:40:00,,23.0,21.0,19.0,20.0,17.0,20.0,18.0,32.0,,,,,,,,,46.0,48.0,,19.897000000000002,19.732
2020-04-06 04:50:00,,940.3037709790243,22.0,21.0,18.0,14.0,21.0,16.0,35.0,,,,,,,,,48.0,46.0,,19.509,19.698
